event,id,symbol,direction,status,openedAt,closedAt,entryPrice,exitPrice,entryRef,entryMexcBid,entryMexcAsk,entryMexcBookSpreadPct,exitRef,exitMexcBid,exitMexcAsk,exitMexcBookSpreadPct,qtyUsd,qtyToken,depositAtEntry,allocationPct,depositAfterClose,dexAnchorAtEntry,dexAnchorAtExit,dexSnapshotAtEntry,dexSnapshotAtExit,entrySpreadPct,exitSpreadPct,grossPnlPct,netPnlPct,grossPnlUsd,netPnlUsd,holdMs,openReason,closeReason
OPEN,0a2e818a-474a-422e-8326-1ab5111c823a,CATE_USDT,SHORT,OPEN,2026-08-21T17:28:31.703Z,,0.044341,,BID,0.044341,0.044343,0.005,,,,,30.19,680.86082858,100.6335,0.3,,0.04364,,1787333310568,,1.581,,,,,,,MEXC above DEX anchor,
CLOSE,0a2e818a-474a-422e-8326-1ab5111c823a,CATE_USDT,SHORT,CLOSED,2026-08-21T17:28:31.703Z,2026-08-21T17:28:47.941Z,0.044341,0.044266,BID,0.044341,0.044343,0.005,ASK,0.044094,0.044233,0.3147395473637738,30.19,680.86082858,100.6335,0.3,100.6482,0.04364,0.04414,1787333310568,1787333326810,1.581,-0.1043,0.1686,0.0486,0.0509,0.0147,16238,MEXC above DEX anchor,trailing_stop
OPEN,8d1b0750-a184-4bb2-bd9e-9186199ef708,CATE_USDT,SHORT,OPEN,2026-08-21T17:30:28.825Z,,0.044763,,BID,0.044763,0.044809,0.103,,,,,30.19,674.54058039,100.6482,0.3,,0.04394,,1787333428624,,1.839,,,,,,,MEXC above DEX anchor,
OPEN,66060881-c9ac-446a-a414-25efd57b9f34,JIMOTHY_USDT,SHORT,OPEN,2026-08-21T17:30:52.948Z,,0.01049,,BID,0.01049,0.01051,0.19,,,,,30.19,2878.40419447,100.6482,0.3,,0.01035,,1787333452646,,1.335,,,,,,,MEXC above DEX anchor,
CLOSE,8d1b0750-a184-4bb2-bd9e-9186199ef708,CATE_USDT,SHORT,CLOSED,2026-08-21T17:30:28.825Z,2026-08-21T17:30:58.851Z,0.044763,0.044218,BID,0.044763,0.044809,0.103,ASK,0.044,0.044218,0.4942302024530208,30.19,674.54058039,100.6482,0.3,100.9795,0.04394,0.04415,1787333428624,1787333458673,1.839,-0.3409,1.2175,1.0975,0.3676,0.3313,30026,MEXC above DEX anchor,mean_reverted_profit
OPEN,3136356f-7ff5-4130-a348-473904539c51,CATE_USDT,SHORT,OPEN,2026-08-21T17:35:53.892Z,,0.045385,,BID,0.045385,0.045465,0.176,,,,,30.29,667.48595351,100.9795,0.3,,0.04465,,1787333752703,,1.619,,,,,,,MEXC above DEX anchor,
CLOSE,66060881-c9ac-446a-a414-25efd57b9f34,JIMOTHY_USDT,SHORT,CLOSED,2026-08-21T17:30:52.948Z,2026-08-21T17:37:55.886Z,0.01049,0.01069,BID,0.01049,0.01051,0.19,ASK,0.01066,0.01068,0.18744142455483526,30.19,2878.40419447,100.6482,0.3,100.3686,0.01035,0.01039,1787333452646,1787333874764,1.335,2.5328,-1.9035,-2.0235,-0.5747,-0.6109,422938,MEXC above DEX anchor,stop_loss
CLOSE,3136356f-7ff5-4130-a348-473904539c51,CATE_USDT,SHORT,CLOSED,2026-08-21T17:35:53.892Z,2026-08-21T17:39:39.491Z,0.045385,0.045046,BID,0.045385,0.045465,0.176,ASK,0.044894,0.045046,0.3380031131865674,30.29,667.48595351,100.9795,0.3,100.5585,0.04465,0.04483,1787333752703,1787333978822,1.619,0.1426,0.7469,0.6269,0.2262,0.1899,225599,MEXC above DEX anchor,mean_reverted_profit
OPEN,a8a8b4f1-b77e-45ba-83cd-f15a91499d3a,ANSEM_USDT,SHORT,OPEN,2026-08-21T17:42:06.183Z,,0.2862,,BID,0.2862,0.2872,0.349,,,,,30.17,105.4072327,100.5585,0.3,,0.2827,,1787334124877,,1.223,,,,,,,MEXC above DEX anchor,
CLOSE,a8a8b4f1-b77e-45ba-83cd-f15a91499d3a,ANSEM_USDT,SHORT,CLOSED,2026-08-21T17:42:06.183Z,2026-08-21T17:57:07.265Z,0.2862,0.2868,BID,0.2862,0.2872,0.349,ASK,0.2861,0.2868,0.24437074533076572,30.17,105.4072327,100.5585,0.3,100.459,0.2827,0.2829,1787334124877,1787335025263,1.223,1.1185,-0.2096,-0.3296,-0.0632,-0.0995,901082,MEXC above DEX anchor,timeout
OPEN,0ecb4be6-262e-452d-b76d-26c5e9a4d0b4,TOAD_USDT,SHORT,OPEN,2026-08-21T17:57:21.016Z,,0.006774,,BID,0.006774,0.006796,0.324,,,,,30.14,4449.02568645,100.459,0.3,,0.006652,,1787335039483,,1.801,,,,,,,MEXC above DEX anchor,
CLOSE,0ecb4be6-262e-452d-b76d-26c5e9a4d0b4,TOAD_USDT,SHORT,CLOSED,2026-08-21T17:57:21.016Z,2026-08-21T18:00:17.273Z,0.006774,0.006903,BID,0.006774,0.006796,0.324,ASK,0.0069,0.006943,0.6212526186520335,30.14,4449.02568645,100.459,0.3,99.8493,0.006652,0.006779,1787335039483,1787335215345,1.801,1.7536,-1.9028,-2.0228,-0.5735,-0.6097,176257,MEXC above DEX anchor,stop_loss
OPEN,46ce775d-e85d-49d2-b5dc-497679ae00c3,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:00:41.352Z,,0.2861,,BID,0.2861,0.2868,0.244,,,,,29.95,104.70041943,99.8493,0.3,,0.2815,,1787335239376,,1.608,,,,,,,MEXC above DEX anchor,
OPEN,718594b8-6cb7-40e6-9963-eb2c6b7c3a19,CATE_USDT,SHORT,OPEN,2026-08-21T18:02:03.437Z,,0.048665,,BID,0.048665,0.048782,0.24,,,,,29.95,615.53046337,99.8493,0.3,,0.0478,,1787335323375,,1.777,,,,,,,MEXC above DEX anchor,
CLOSE,46ce775d-e85d-49d2-b5dc-497679ae00c3,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:00:41.352Z,2026-08-21T18:02:11.128Z,0.2861,0.282,BID,0.2861,0.2868,0.244,ASK,0.281,0.282,0.3552397868561085,29.95,104.70041943,99.8493,0.3,100.2426,0.2815,0.2807,1787335239376,1787335329378,1.608,0.1068,1.4331,1.3131,0.4292,0.3933,89776,MEXC above DEX anchor,mean_reverted_profit
CLOSE,718594b8-6cb7-40e6-9963-eb2c6b7c3a19,CATE_USDT,SHORT,CLOSED,2026-08-21T18:02:03.437Z,2026-08-21T18:02:19.742Z,0.048665,0.049591,BID,0.048665,0.048782,0.24,ASK,0.04955,0.049724,0.35054495638334415,29.95,615.53046337,99.8493,0.3,99.6371,0.0478,0.04913,1787335323375,1787335337947,1.777,0.8476,-1.9019,-2.0219,-0.5696,-0.6055,16305,MEXC above DEX anchor,stop_loss
OPEN,ea837152-a829-45ea-9df6-59189e8cee5a,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:04:42.858Z,,0.011443,,ASK,0.011414,0.011443,0.254,,,,,29.89,2612.1760028,99.6371,0.3,,0.01175,,1787335481431,,2.683,,,,,,,MEXC below DEX anchor,
CLOSE,ea837152-a829-45ea-9df6-59189e8cee5a,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:04:42.858Z,2026-08-21T18:06:06.690Z,0.011443,0.011475,ASK,0.011414,0.011443,0.254,BID,0.011433,0.011516,0.7233430650572987,29.89,2612.1760028,99.6371,0.3,99.6835,0.01175,0.01194,1787335481431,1787335566553,2.683,3.6818,0.2754,0.1554,0.0823,0.0464,83832,MEXC below DEX anchor,trailing_stop
OPEN,85d1713d-0809-450d-b612-a25214a27a58,BEAT_USDT,SHORT,OPEN,2026-08-21T18:07:25.933Z,,0.1765,,BID,0.1765,0.1766,0.057,,,,,29.91,169.43371105,99.6835,0.3,,0.1741,,1787335645522,,1.36,,,,,,,MEXC above DEX anchor,
CLOSE,85d1713d-0809-450d-b612-a25214a27a58,BEAT_USDT,SHORT,CLOSED,2026-08-21T18:07:25.933Z,2026-08-21T18:08:47.369Z,0.1765,0.1759,BID,0.1765,0.1766,0.057,ASK,0.1758,0.1759,0.05686664771111117,29.91,169.43371105,99.6835,0.3,99.7493,0.1741,0.1754,1787335645522,1787335726457,1.36,0.2275,0.3399,0.2199,0.1017,0.0658,81436,MEXC above DEX anchor,mean_reverted_profit
OPEN,e67a9a15-eabb-46e0-a83a-56c79222d7b6,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:09:33.287Z,,0.0124,,ASK,0.012385,0.0124,0.121,,,,,29.92,2413.28951613,99.7493,0.3,,0.01277,,1787335771553,,2.984,,,,,,,MEXC below DEX anchor,
CLOSE,e67a9a15-eabb-46e0-a83a-56c79222d7b6,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:09:33.287Z,2026-08-21T18:10:24.699Z,0.0124,0.012837,ASK,0.012385,0.0124,0.121,BID,0.012837,0.01293,0.7218535335894832,29.92,2413.28951613,99.7493,0.3,100.7678,0.01277,0.01275,1787335771553,1787335822763,2.984,-1.3921,3.5242,3.4042,1.0544,1.0185,51412,MEXC below DEX anchor,mean_reverted_profit
OPEN,739d27e7-25e5-44c8-b07c-39720159ef09,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:11:54.053Z,,0.2832,,BID,0.2832,0.284,0.282,,,,,30.23,106.74555085,100.7678,0.3,,0.2796,,1787335913625,,1.271,,,,,,,MEXC above DEX anchor,
OPEN,13911269-f3ca-4b02-bab4-e568d23d501f,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:13:58.337Z,,0.013263,,ASK,0.01325,0.013263,0.098,,,,,30.23,2279.29880118,100.7678,0.3,,0.0135,,1787336037696,,1.787,,,,,,,MEXC below DEX anchor,
CLOSE,13911269-f3ca-4b02-bab4-e568d23d501f,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:13:58.337Z,2026-08-21T18:14:57.759Z,0.013263,0.014158,ASK,0.01325,0.013263,0.098,BID,0.014158,0.014164,0.04236988913211681,30.23,2279.29880118,100.7678,0.3,102.7715,0.0135,0.01372,1787336037696,1787336095721,1.787,-3.1347,6.7481,6.6281,2.0399,2.0037,59422,MEXC below DEX anchor,mean_reverted_profit
CLOSE,739d27e7-25e5-44c8-b07c-39720159ef09,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:11:54.053Z,2026-08-21T18:17:26.618Z,0.2832,0.2808,BID,0.2832,0.284,0.282,ASK,0.2801,0.2808,0.249598858976637,30.23,106.74555085,100.7678,0.3,102.9914,0.2796,0.2796,1787335913625,1787336245786,1.271,0.1785,0.8475,0.7275,0.2562,0.2199,332565,MEXC above DEX anchor,mean_reverted_profit
OPEN,e16bf8c5-33a5-4fd0-b14c-7f78744f939d,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:18:42.190Z,,0.013704,,ASK,0.013703,0.013704,0.007,,,,,30.9,2254.62784588,102.9914,0.3,,0.01421,,1787336322039,,3.692,,,,,,,MEXC below DEX anchor,
CLOSE,e16bf8c5-33a5-4fd0-b14c-7f78744f939d,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:18:42.190Z,2026-08-21T18:19:44.289Z,0.013704,0.014051,ASK,0.013703,0.013704,0.007,BID,0.014006,0.014081,0.5340549008438097,30.9,2254.62784588,102.9914,0.3,103.7366,0.01421,0.01436,1787336322039,1787336383851,3.692,1.9814,2.5316,2.4116,0.7823,0.7452,62099,MEXC below DEX anchor,trailing_stop
OPEN,237e090a-d90a-4ab4-98a2-633e5bed0b4e,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:20:08.392Z,,0.2784,,BID,0.2784,0.279,0.215,,,,,31.12,111.78512931,103.7366,0.3,,0.274,,1787336407862,,1.58,,,,,,,MEXC above DEX anchor,
OPEN,ad49d78b-eb2e-497a-adb8-8e28d4fbfca7,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:20:08.440Z,,0.014127,,ASK,0.014081,0.014127,0.326,,,,,31.12,2202.94330006,103.7366,0.3,,0.0146,,1787336407863,,3.348,,,,,,,MEXC below DEX anchor,
CLOSE,ad49d78b-eb2e-497a-adb8-8e28d4fbfca7,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:20:08.440Z,2026-08-21T18:20:32.720Z,0.014127,0.014206,ASK,0.014081,0.014127,0.326,BID,0.014081,0.014158,0.5453450901235928,31.12,2202.94330006,103.7366,0.3,103.8728,0.0146,0.01421,1787336407863,1787336431142,3.348,0.3673,0.5577,0.4377,0.1735,0.1362,24280,MEXC below DEX anchor,trailing_stop
OPEN,ce89ed1a-29e1-4eae-a7f0-e4427672ba33,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:23:19.821Z,,0.013584,,ASK,0.01355,0.013584,0.251,,,,,31.16,2294.01060071,103.8728,0.3,,0.01401,,1787336597944,,3.136,,,,,,,MEXC below DEX anchor,
CLOSE,ce89ed1a-29e1-4eae-a7f0-e4427672ba33,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:23:19.821Z,2026-08-21T18:24:00.284Z,0.013584,0.013701,ASK,0.01355,0.013584,0.251,BID,0.01371,0.013776,0.4802444881030349,31.16,2294.01060071,103.8728,0.3,104.1044,0.01401,0.01426,1787336597944,1787336639961,3.136,3.5134,0.8634,0.7434,0.269,0.2316,40463,MEXC below DEX anchor,trailing_stop
OPEN,8c772244-6e12-46e8-b486-a4b332ac82a9,PENGU_USDT,SHORT,OPEN,2026-08-21T18:25:40.102Z,,0.008539,,BID,0.008539,0.00854,0.012,,,,,31.23,3657.49150954,104.1044,0.3,,0.008428,,1787336739991,,1.3,,,,,,,MEXC above DEX anchor,
CLOSE,8c772244-6e12-46e8-b486-a4b332ac82a9,PENGU_USDT,SHORT,CLOSED,2026-08-21T18:25:40.102Z,2026-08-21T18:26:15.127Z,0.008539,0.008524,BID,0.008539,0.00854,0.012,ASK,0.008522,0.008524,0.02346591575736555,31.23,3657.49150954,104.1044,0.3,104.1218,0.008428,0.008531,1787336739991,1787336774006,1.3,-0.1056,0.1757,0.0557,0.0549,0.0174,35025,MEXC above DEX anchor,mean_reverted_profit
OPEN,d118ee44-7bdb-4700-9bb0-d74f69ee7308,B3_USDT,LONG,OPEN,2026-08-21T18:28:20.790Z,,0.000541,,ASK,0.000541,0.000541,0.055,,,,,31.24,57738.52125693,104.1218,0.3,,0.000548,,1787336900105,,1.239,,,,,,,MEXC below DEX anchor,
CLOSE,d118ee44-7bdb-4700-9bb0-d74f69ee7308,B3_USDT,LONG,CLOSED,2026-08-21T18:28:20.790Z,2026-08-21T18:32:58.011Z,0.000541,0.000543,ASK,0.000541,0.000541,0.055,BID,0.0005425,0.0005431,0.11053795136330409,31.24,57738.52125693,104.1218,0.3,104.1709,0.000548,0.0005428,1787336900105,1787337177397,1.239,-0.0552,0.2773,0.1573,0.0866,0.0491,277221,MEXC below DEX anchor,mean_reverted_profit
OPEN,9801bfed-7500-4c9e-9359-421db2ed091e,CATE_USDT,SHORT,OPEN,2026-08-21T18:33:14.509Z,,0.048335,,BID,0.048335,0.04834,0.01,,,,,31.25,646.55570498,104.1709,0.3,,0.04724,,1787337194194,,2.265,,,,,,,MEXC above DEX anchor,
CLOSE,9801bfed-7500-4c9e-9359-421db2ed091e,CATE_USDT,SHORT,CLOSED,2026-08-21T18:33:14.509Z,2026-08-21T18:33:46.705Z,0.048335,0.047506,BID,0.048335,0.04834,0.01,ASK,0.047388,0.047506,0.2486985478533944,31.25,646.55570498,104.1709,0.3,104.6694,0.04724,0.0474,1787337194194,1787337226189,2.265,-0.0253,1.7151,1.5951,0.536,0.4985,32196,MEXC above DEX anchor,mean_reverted_profit
CLOSE,237e090a-d90a-4ab4-98a2-633e5bed0b4e,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:20:08.392Z,2026-08-21T18:35:09.640Z,0.2784,0.2772,BID,0.2784,0.279,0.215,ASK,0.2767,0.2772,0.1805380032496842,31.12,111.78512931,103.7366,0.3,104.7662,0.274,0.2724,1787336407862,1787337308235,1.58,1.554,0.431,0.311,0.1341,0.0968,901248,MEXC above DEX anchor,timeout
OPEN,e6d8dac6-2545-48d1-801c-81b424d607ce,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:35:23.058Z,,0.013096,,ASK,0.01308,0.013096,0.122,,,,,31.43,2399.95876604,104.7662,0.3,,0.01334,,1787337322242,,1.863,,,,,,,MEXC below DEX anchor,
CLOSE,e6d8dac6-2545-48d1-801c-81b424d607ce,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:35:23.058Z,2026-08-21T18:37:13.238Z,0.013096,0.012847,ASK,0.01308,0.013096,0.122,BID,0.0128,0.012824,0.18732438339056912,31.43,2399.95876604,104.7662,0.3,104.1312,0.01334,0.01317,1787337322242,1787337432493,1.863,2.6981,-1.9003,-2.0203,-0.5973,-0.635,110180,MEXC below DEX anchor,stop_loss
OPEN,4ac7ef02-f7bb-4da7-ba73-e3267f02f365,CATE_USDT,SHORT,OPEN,2026-08-21T18:37:32.426Z,,0.048004,,BID,0.048004,0.04808,0.158,,,,,31.24,650.76576952,104.1312,0.3,,0.04719,,1787337452271,,1.696,,,,,,,MEXC above DEX anchor,
CLOSE,4ac7ef02-f7bb-4da7-ba73-e3267f02f365,CATE_USDT,SHORT,CLOSED,2026-08-21T18:37:32.426Z,2026-08-21T18:39:25.297Z,0.048004,0.0478,BID,0.048004,0.04808,0.158,ASK,0.047687,0.0478,0.23668143307466355,31.24,650.76576952,104.1312,0.3,104.2265,0.04719,0.04796,1787337452271,1787337564332,1.696,-0.5725,0.425,0.305,0.1328,0.0953,112871,MEXC above DEX anchor,mean_reverted_profit
OPEN,d7d7163d-2b60-4bcc-8ac1-1bcdf4d29060,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:39:51.786Z,,0.2751,,BID,0.2751,0.276,0.327,,,,,31.27,113.66030534,104.2265,0.3,,0.2716,,1787337590341,,1.272,,,,,,,MEXC above DEX anchor,
CLOSE,d7d7163d-2b60-4bcc-8ac1-1bcdf4d29060,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:39:51.786Z,2026-08-21T18:49:42.750Z,0.2751,0.27349,BID,0.2751,0.276,0.327,ASK,0.2724,0.2734,0.36643459142543094,31.27,113.66030534,104.2265,0.3,104.372,0.2716,0.2678,1787337590341,1787338182602,1.272,1.6887,0.5852,0.4652,0.183,0.1455,590964,MEXC above DEX anchor,trailing_stop
OPEN,62e43aa9-11b0-4981-a035-e00cbb56c5c5,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:51:19.967Z,,0.2724,,BID,0.2724,0.2733,0.33,,,,,31.31,114.94713656,104.372,0.3,,0.267,,1787338278658,,1.982,,,,,,,MEXC above DEX anchor,
OPEN,fe5cd403-dd65-4f65-8a3f-bd92dc590df5,JIMOTHY_USDT,LONG,OPEN,2026-08-21T18:52:16.654Z,,0.013465,,ASK,0.013461,0.013465,0.03,,,,,31.31,2325.40660973,104.372,0.3,,0.01378,,1787338334696,,2.339,,,,,,,MEXC below DEX anchor,
CLOSE,62e43aa9-11b0-4981-a035-e00cbb56c5c5,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:51:19.967Z,2026-08-21T18:52:32.825Z,0.2724,0.270378,BID,0.2724,0.2733,0.33,ASK,0.2706,0.2714,0.29520295202950825,31.31,114.94713656,104.372,0.3,104.5668,0.267,0.2675,1787338278658,1787338350704,1.982,1.1456,0.7423,0.6223,0.2324,0.1948,72858,MEXC above DEX anchor,trailing_stop
CLOSE,fe5cd403-dd65-4f65-8a3f-bd92dc590df5,JIMOTHY_USDT,LONG,CLOSED,2026-08-21T18:52:16.654Z,2026-08-21T18:53:18.868Z,0.013465,0.01321,ASK,0.013461,0.013465,0.03,BID,0.013183,0.013208,0.18945852752831635,31.31,2325.40660973,104.372,0.3,103.9358,0.01378,0.01356,1787338334696,1787338398725,2.339,2.6651,-1.8955,-2.0155,-0.5935,-0.631,62214,MEXC below DEX anchor,stop_loss
OPEN,1ef10dc4-d860-4b2a-835a-eb351747e983,ANSEM_USDT,SHORT,OPEN,2026-08-21T18:53:32.272Z,,0.2726,,BID,0.2726,0.273,0.147,,,,,31.18,114.38275862,103.9358,0.3,,0.2673,,1787338410734,,1.944,,,,,,,MEXC above DEX anchor,
OPEN,6018b93e-11da-4293-89b9-d4eb839c3cae,TOAD_USDT,SHORT,OPEN,2026-08-21T18:57:07.889Z,,0.00735,,BID,0.00735,0.007371,0.285,,,,,31.18,4242.27755102,103.9358,0.3,,0.007246,,1787338626829,,1.415,,,,,,,MEXC above DEX anchor,
CLOSE,6018b93e-11da-4293-89b9-d4eb839c3cae,TOAD_USDT,SHORT,CLOSED,2026-08-21T18:57:07.889Z,2026-08-21T18:58:47.701Z,0.00735,0.007489,BID,0.00735,0.007371,0.285,ASK,0.007426,0.007487,0.8180781868168636,31.18,4242.27755102,103.9358,0.3,103.3067,0.007246,0.007351,1787338626829,1787338726872,1.415,1.01,-1.8977,-2.0177,-0.5917,-0.6291,99812,MEXC above DEX anchor,stop_loss
CLOSE,1ef10dc4-d860-4b2a-835a-eb351747e983,ANSEM_USDT,SHORT,CLOSED,2026-08-21T18:53:32.272Z,2026-08-21T19:04:36.922Z,0.2726,0.271081,BID,0.2726,0.273,0.147,ASK,0.27,0.2709,0.3327787021630455,31.18,114.38275862,103.9358,0.3,103.443,0.2673,0.2665,1787338410734,1787339074988,1.944,1.2963,0.5573,0.4373,0.1738,0.1363,664650,MEXC above DEX anchor,trailing_stop
OPEN,301e4b1e-c77f-4e13-a81e-6e0374b1147e,ANSEM_USDT,SHORT,OPEN,2026-08-21T19:04:42.382Z,,0.27,,BID,0.27,0.2709,0.333,,,,,31.03,114.93666667,103.443,0.3,,0.2665,,1787339080989,,1.296,,,,,,,MEXC above DEX anchor,
OPEN,b1759d46-a8dd-4b07-8734-41affdaa8b0f,CATE_USDT,SHORT,OPEN,2026-08-21T19:08:22.733Z,,0.044775,,BID,0.044775,0.044792,0.038,,,,,31.03,693.08542714,103.443,0.3,,0.04361,,1787339301080,,2.602,,,,,,,MEXC above DEX anchor,
CLOSE,b1759d46-a8dd-4b07-8734-41affdaa8b0f,CATE_USDT,SHORT,CLOSED,2026-08-21T19:08:22.733Z,2026-08-21T19:09:08.952Z,0.044775,0.044002,BID,0.044775,0.044792,0.038,ASK,0.043962,0.044002,0.09094629621208306,31.03,693.08542714,103.443,0.3,103.9415,0.04361,0.04386,1787339301080,1787339347102,2.602,0.232,1.7264,1.6064,0.5357,0.4985,46219,MEXC above DEX anchor,mean_reverted_profit
OPEN,9906e3cc-9509-47b3-bf3e-84fc3922e4fc,CATE_USDT,SHORT,OPEN,2026-08-21T19:11:05.746Z,,0.044506,,BID,0.044506,0.044527,0.047,,,,,31.18,700.63474588,103.9415,0.3,,0.04284,,1787339463788,,3.743,,,,,,,MEXC above DEX anchor,
CLOSE,9906e3cc-9509-47b3-bf3e-84fc3922e4fc,CATE_USDT,SHORT,CLOSED,2026-08-21T19:11:05.746Z,2026-08-21T19:11:57.203Z,0.044506,0.045352,BID,0.044506,0.044527,0.047,ASK,0.045226,0.045446,0.4852655726133712,31.18,700.63474588,103.9415,0.3,103.3112,0.04284,0.04344,1787339463788,1787339517178,3.743,3.9491,-1.9016,-2.0216,-0.5929,-0.6303,51457,MEXC above DEX anchor,stop_loss
